paperId,arxiv_id,doi,title,authors,year,publicationDate,venue,url,Cited by
25056843ed286598031e59863c191c98a00665e5,,10.2172/1881958,Using variational methods and hyperbolic lattices to find the ground state of gapless systems,M. Sajid; J. Unmuth-Yockey,1900,1900-01-01,Using variational methods and hyperbolic lattices to find the ground state of gapless systems,https://www.semanticscholar.org/paper/25056843ed286598031e59863c191c98a00665e5,0
72c783aa521ce2a2842c846bcc9b49d78060fcfb,,10.2172/1827837,Cryogenic infrastructure for quantum computing,M. Hollister,1900,1900-01-01,Cryogenic infrastructure for quantum computing,https://www.semanticscholar.org/paper/72c783aa521ce2a2842c846bcc9b49d78060fcfb,0
88e3d48b6d58fa0fd3bbca1643cb8f80cf4d2099,,10.2172/1827839,A large mK platform at Fermilab for quantum computing applications,M. Hollister; R. Dhuley; G. Tatkowski,1900,1900-01-01,A large mK platform at Fermilab for quantum computing applications,https://www.semanticscholar.org/paper/88e3d48b6d58fa0fd3bbca1643cb8f80cf4d2099,1
5277a197e9c2e32cc4bdc3d5f8ae00b3db884eb4,,10.1073/PNAS.3.6.420,The Occurrence of Harmonics in the Infra-Red Absorption Spectra of Diatomic Gases.,J. B. Brinsmade; E. C. Kemble,1917,1917-06-01,Proceedings of the National Academy of Sciences of the United States of America,https://www.semanticscholar.org/paper/5277a197e9c2e32cc4bdc3d5f8ae00b3db884eb4,7
8b24f90e4347ceb392c24554122cf92596aa42e1,,10.1103/PHYSREV.21.483,A Quantum Theory of the Scattering of X-rays by Light Elements,A. H. Compton,1923,1923-05-01,,https://www.semanticscholar.org/paper/8b24f90e4347ceb392c24554122cf92596aa42e1,663
1f2ba99a919454ee7e62d56a36816cfd5a209bcd,,10.1017/S0305004100009221,On the Quantum Theory of Vibration-Rotation Bands,J. Oppenheimer,1926,1926-07-01,Mathematical Proceedings of the Cambridge Philosophical Society,https://www.semanticscholar.org/paper/1f2ba99a919454ee7e62d56a36816cfd5a209bcd,28
056ea6e26a7b6be01c13a579bd852743c5789b4c,,10.1017/S0305004100015255,On the Quantum Theory of the Problem of the Two Bodies,J. Oppenheimer,1926,1926-10-01,Mathematical Proceedings of the Cambridge Philosophical Society,https://www.semanticscholar.org/paper/056ea6e26a7b6be01c13a579bd852743c5789b4c,4
d120625eeefd460f949be7e95e017db572b22a2d,,10.1103/PHYSREV.28.695,The Stark effect from the point of view of Schroedinger's quantum theory,P. Epstein,1926,1926-10-01,,https://www.semanticscholar.org/paper/d120625eeefd460f949be7e95e017db572b22a2d,370
782f26551241073da8ceecf88a635be3311b65d0,,10.1038/118771D0,Quantum Theory and Intensity Distribution in Continuous Spectra,J. Oppenheimer,1926,1926-11-01,Nature,https://www.semanticscholar.org/paper/782f26551241073da8ceecf88a635be3311b65d0,3
116f8a16d6ef821e99dbcf99bc4282ba9d08ca6e,,10.1073/PNAS.13.6.432,The Dielectric Constant of Atomic Hydrogen in Undulatory Mechanics.,P. Epstein,1927,1927-06-01,Proceedings of the National Academy of Sciences of the United States of America,https://www.semanticscholar.org/paper/116f8a16d6ef821e99dbcf99bc4282ba9d08ca6e,2
cd9cce27feaad89ebef4cca9f2bcfe5da249c22c,,10.1073/PNAS.14.3.261,On the Quantum Theory of the Ramsauer Effect.,J. Oppenheimer,1928,1928-03-01,Proceedings of the National Academy of Sciences of the United States of America,https://www.semanticscholar.org/paper/cd9cce27feaad89ebef4cca9f2bcfe5da249c22c,2
e4c0a035f470873c91cf22c218d950dcd21c2efb,,10.1103/PHYSREV.31.349,On the Quantum Theory of the Capture of Electrons,J. Oppenheimer,1928,1928-03-01,,https://www.semanticscholar.org/paper/e4c0a035f470873c91cf22c218d950dcd21c2efb,243
1916649a9ef2ee6b6f27780692db18b909c575fd,,10.1103/PHYSREV.33.512,The Two Quantum Excited States of the Hydrogen Molecule,E. C. Kemble; C. Zener,1929,1929-04-01,,https://www.semanticscholar.org/paper/1916649a9ef2ee6b6f27780692db18b909c575fd,31
4326c1a6797108ab4fba3f794ded6ccdc0ecb68e,,10.1098/RSPA.1931.0019,Quantum Mechanics of Electrons in Crystal Lattices,R. Kronig; W. Penney,1931,1931-02-03,,https://www.semanticscholar.org/paper/4326c1a6797108ab4fba3f794ded6ccdc0ecb68e,1005
24aa2df83322068efc72979ee7a0b1a2c8a62628,,10.1038/128272B0,Intensity of Raman Scattering in Gases.,S. Bhagavantam,1931,1931-08-15,Nature,https://www.semanticscholar.org/paper/24aa2df83322068efc72979ee7a0b1a2c8a62628,0
ce2d880f71a093dfcdbac85673f26fb3b7c60b71,,10.1038/130092B0,Raman Spectrum of Nitrous Oxide,A. Langseth; J. Nielsen,1932,1932-07-01,Nature,https://www.semanticscholar.org/paper/ce2d880f71a093dfcdbac85673f26fb3b7c60b71,10
1685e134909855c7c0c4338db1552dfd12f1a4b4,,10.1103/PHYSREV.41.304,The Vibrational Levels of Linear Symmetrical Triatomic Molecules,D. M. Dennison,1932,1932-08-01,,https://www.semanticscholar.org/paper/1685e134909855c7c0c4338db1552dfd12f1a4b4,33
d070d17c0ca893157d9e63f768b43a441e36298e,,10.1007/BF00578791,Book Reviews,P. Kehr; C. Karger,1932,1932-08-01,European Journal of Orthopaedic Surgery & Traumatology,https://www.semanticscholar.org/paper/d070d17c0ca893157d9e63f768b43a441e36298e,0
ee464d14d02d32225297e20a64b6b3a06322f828,,10.1098/RSPA.1933.0092,The Collision of Slow Electrons with Atoms. III. The Excitation and Ionization of Helium by Electrons of Moderate Velocity,H. Massey; C. Mohr,1933,1933-06-01,,https://www.semanticscholar.org/paper/ee464d14d02d32225297e20a64b6b3a06322f828,110
07b0ae7d8623be4e49094fad057f4c0262cadc63,,10.1103/PHYSREV.46.1034,Self-Consistent Field and Some X-Ray Terms of the Sodium Atom,E. H. Kennard; E. Ramberg,1934,1934-12-15,,https://www.semanticscholar.org/paper/07b0ae7d8623be4e49094fad057f4c0262cadc63,15
f0bf75e965ecaba67860a71dd3f327fc34a11b6c,,10.1103/PHYSREV.48.30,A Measurement of the Absolute Probability of K -Electron Ionization of Silver by Cathode Rays,J. Clark,1935,1935-07-01,,https://www.semanticscholar.org/paper/f0bf75e965ecaba67860a71dd3f327fc34a11b6c,28
cf4257040b32499ae508b2430406f0abcffddd7c,,10.3181/00379727-33-8429P,Quantitative Interpretation of Biological X-Ray Effects.∗,F. M. Uber,1936,1936-01-01,,https://www.semanticscholar.org/paper/cf4257040b32499ae508b2430406f0abcffddd7c,4
25d299c726c11ae95d822be0059f94cef6e1b5af,,10.1038/142615A0,Kramers' Law: A Correction,T. Page,1938,1938-10-01,Nature,https://www.semanticscholar.org/paper/25d299c726c11ae95d822be0059f94cef6e1b5af,0
fd2dc5017f09da9b22667e19e28aaf182fb0d169,,10.1098/RSPA.1938.0174,The formation of negative ions by positive-ion impact on surfaces,R. H. Sloane; R. Press,1938,1938-10-25,,https://www.semanticscholar.org/paper/fd2dc5017f09da9b22667e19e28aaf182fb0d169,29
3076434cbeef860060f555536da42b7f6a393d0a,,10.1063/1.1750174,Integrals Required for Computing the Energy of H3 and of H3,J. Hirschfelder; C. Weygandt,1938,1938-12-01,,https://www.semanticscholar.org/paper/3076434cbeef860060f555536da42b7f6a393d0a,39
4ce73bad4d20bb54e2247fa1c663303a1147c9f7,,10.1126/science.203.4379.417.a,Science,J. Walsh,1939,1939-08-01,Science,https://www.semanticscholar.org/paper/4ce73bad4d20bb54e2247fa1c663303a1147c9f7,0
15229e7444817e360236d2cb7b45d3ae07ddf40b,,10.1002/J.1537-2197.1939.TB09361.X,FACTORS INFLUENCING THE EFFICIENCY OF PHOTOSYNTHESIS,R. Emerson; C. M. Lewis,1939,1939-12-01,,https://www.semanticscholar.org/paper/15229e7444817e360236d2cb7b45d3ae07ddf40b,81
acde9a6bdef15ca3716d150a2619059536804990,,10.1103/PHYSREV.60.373,Correction for Nuclear Motion in H 2,V. A. Johnson,1941,1941-09-01,,https://www.semanticscholar.org/paper/acde9a6bdef15ca3716d150a2619059536804990,31
834184e8013d7835a22b87c52d6ff3cfb9f7ad28,,10.1063/1.1723840,The Transmission Coefficient in the Theory of Absolute Reaction Rates,H. Hulburt; J. Hirschfelder,1943,1943-06-01,,https://www.semanticscholar.org/paper/834184e8013d7835a22b87c52d6ff3cfb9f7ad28,44
c5e6d9ed5cf9e0f4ffc9d662923d6f3af4c2b9bd,,10.1038/157808C0,Quantization of the Solar System,J. Barnothy,1946,1946-06-01,Nature,https://www.semanticscholar.org/paper/c5e6d9ed5cf9e0f4ffc9d662923d6f3af4c2b9bd,11
ce4a94c6b60a0fb1f3fca85d0695c97dae499174,,10.1111/J.1467-9574.1946.TB00608.X,Het quantitatieve verband tussen dosering en letaliteit bij proefdieren,Drs C. A. G. Nass,1946,1946-08-01,,https://www.semanticscholar.org/paper/ce4a94c6b60a0fb1f3fca85d0695c97dae499174,0
bc33b873149d081ff83fed5d8f9619c0eaec94f6,,10.1063/1.1746912,Erratum: Absorption Spectrum of Carbon Dioxide from 14 to 16 Microns,L. Kaplan,1947,1947-11-01,,https://www.semanticscholar.org/paper/bc33b873149d081ff83fed5d8f9619c0eaec94f6,6
9e7a67afb7362b30c2cb12a41dc8e8c3e32b15b1,,10.1085/JGP.31.3.269,THE QUANTIC AND STATISTICAL BASES OF VISUAL EXCITATION,,1948,1948-01-20,The Journal of General Physiology,https://www.semanticscholar.org/paper/9e7a67afb7362b30c2cb12a41dc8e8c3e32b15b1,31
653964c555a54ee5a91057b0bad64cd7b7a4e985,,10.1063/1.1746798,"Quantum Corrections to the Thermodynamic Properties of Liquids, with Application to Neon",O. K. Rice,1948,1948-02-01,,https://www.semanticscholar.org/paper/653964c555a54ee5a91057b0bad64cd7b7a4e985,0
0cb115289680b28d5e550370f9f1c1accdbf2c26,,10.1093/BIOMET/35.1-2.191,A table for the calculation of working probits and weights in probit analysis.,D. J. Finney; W. Stevens,1948,1948-05-01,Biometrika,https://www.semanticscholar.org/paper/0cb115289680b28d5e550370f9f1c1accdbf2c26,234
2d7cae1a6e1de0605ace5ce9e0be7b71a29e3404,,10.1103/PHYSREV.73.1119,Note on zero-zero transitions,M. Goldberger,1948,1948-05-01,,https://www.semanticscholar.org/paper/2d7cae1a6e1de0605ace5ce9e0be7b71a29e3404,2
d8f322a240a44a65c74a07e831bccf96913cb171,,10.1136/adc.23.114.147-c,An Introduction to Physical Methods of Treatment in Psychiatry,,1948,1948-06-01,,https://www.semanticscholar.org/paper/d8f322a240a44a65c74a07e831bccf96913cb171,6
9b90c95d3980e742eb60277785f890d6e0c5cbd4,,10.5594/J15217,Portable 16-Mm Sound Projector * -->,H. Wilson,1948,1948-07-01,,https://www.semanticscholar.org/paper/9b90c95d3980e742eb60277785f890d6e0c5cbd4,0
bfe66bd017d54324ce394dbefa928a157bda7e28,,10.1017/S0305004100024415,Quantum mechanics of the anharmonic oscillator,R. Mcweeny; C. Coulson,1948,1948-07-01,Mathematical Proceedings of the Cambridge Philosophical Society,https://www.semanticscholar.org/paper/bfe66bd017d54324ce394dbefa928a157bda7e28,31
d5ac2905c6cf0cdcbd444fec960442a76bfac5ef,,10.1103/PHYSREV.74.1168,The Dipolar Broadening of Magnetic Resonance Lines in Crystals,J. V. Vleck,1948,1948-11-01,,https://www.semanticscholar.org/paper/d5ac2905c6cf0cdcbd444fec960442a76bfac5ef,2048
34071ece90fe85dabe854f91dd70da5717d6ff5c,,10.1143/PTP/4.3.314,Triplet Intervals of Beryllium and Calcium,W. Watari,1949,1949-09-01,,https://www.semanticscholar.org/paper/34071ece90fe85dabe854f91dd70da5717d6ff5c,0
57a7596ba4e0fb20504845d80bb2e966b8b27972,,10.1143/PTP/4.3.317,Intervals of Si IV 2P levels,S. Tutihasi,1949,1949-09-01,,https://www.semanticscholar.org/paper/57a7596ba4e0fb20504845d80bb2e966b8b27972,1
99a73679d15107df17b7e2c9a2e47cb3583ff6f4,,10.1017/S0031819100007683,"Probability and Induction . By William Kneale, Fellow of Exeter College and Lecturer in Philosophy in the University of Oxford. (Oxford: Clarendon Press. 1949. Pp. 264. Price 15s. net.)",Edmund Taylor Whittaker,1949,1949-10-01,Philosophy,https://www.semanticscholar.org/paper/99a73679d15107df17b7e2c9a2e47cb3583ff6f4,1
6da4b1d25b97ebfbf58a986124488f4ba5cdcf6b,,10.1115/1.4017258,Zero-Pressure Thermodynamic Properties of Carbon Dioxide,S. Gratch,1949,1949-11-01,Journal of Fluids Engineering,https://www.semanticscholar.org/paper/6da4b1d25b97ebfbf58a986124488f4ba5cdcf6b,0
1ea7aa672a95d8a945415f2827e1b05bdc303a7d,,10.1063/1.1747150,Formulas and Numerical Tables for Overlap Integrals,R. S. Mulliken; C. A. Rieke; D. Orloff; H. Orloff,1949,1949-12-01,,https://www.semanticscholar.org/paper/1ea7aa672a95d8a945415f2827e1b05bdc303a7d,852
95a80fa20564018c1329b12e8d8ec88c5fd641a0,,,Tables for determining reduction of energy and intensity of X-rays and gamma-rays at various scattering angles in small thickness of matter,G. Allen,1950,1950-02-01,,https://www.semanticscholar.org/paper/95a80fa20564018c1329b12e8d8ec88c5fd641a0,0
30aac7795c60c416c38fafa1b0ef4119f58f917f,,10.1143/JPSJ.5.53,The Efficiency of the G-M Counter.,M. Sonoda,1950,1950-03-01,,https://www.semanticscholar.org/paper/30aac7795c60c416c38fafa1b0ef4119f58f917f,2
771c059e77b46a735f76fe20a10a8bc8ea8915d0,,10.1063/1.1747714,On the Fluctuation of Energy of Gases in the Bose‐Fermi Quantum Statistics,K. Széll,1950,1950-05-01,,https://www.semanticscholar.org/paper/771c059e77b46a735f76fe20a10a8bc8ea8915d0,0
8d5161d414fe76636c8822deb7c2a1766bb71670,,10.1115/1.4016815,Zero-Pressure Thermodynamic Properties of Carbon Monoxide and Nitrogen,J. Goff; S. Gratch,1950,1950-08-01,Journal of Fluids Engineering,https://www.semanticscholar.org/paper/8d5161d414fe76636c8822deb7c2a1766bb71670,1
b83f757e5ad6f6adf9aeb8e26e70accbf41f9dc8,,10.1115/1.4016814,Zero-Pressure Thermodynamic Properties of Some Monatomic Gases,J. Goff; S. Gratch; S. W. Van Voorhis,1950,1950-08-01,Journal of Fluids Engineering,https://www.semanticscholar.org/paper/b83f757e5ad6f6adf9aeb8e26e70accbf41f9dc8,2
2f2c4c1da125484232f7e8f1c5665c27a30aed87,,10.1017/S0022172400015333,The estimation of bacterial densities from dilution series,D. J. Finney,1951,1951-03-01,Journal of Hygiene,https://www.semanticscholar.org/paper/2f2c4c1da125484232f7e8f1c5665c27a30aed87,37
11264a1a197cda9bea8f265dd06124b7011ea576,,10.1007/BF02246929,Über den zweidimensionalen Impulsaustausch rotierender Systeme,P. Raethjen,1951,1951-05-01,,https://www.semanticscholar.org/paper/11264a1a197cda9bea8f265dd06124b7011ea576,2
f6d411aaca0ce26403ec38a19ff38b8655c7e54d,,10.1143/PTP/6.2.261,"On the Mass of Cohesive Meson and the Mass Difference of Nucleons, II",H. Enatsu; P. Y. Pac,1951,1951-06-01,,https://www.semanticscholar.org/paper/f6d411aaca0ce26403ec38a19ff38b8655c7e54d,0
6fc99ccd7ba0fe27e49fe46ee4dfd726df1c54f4,,10.1038/1681002A0,A Quantum Mechanical Study of Lithium Hydride,I. Fischer,1951,1951-12-01,Nature,https://www.semanticscholar.org/paper/6fc99ccd7ba0fe27e49fe46ee4dfd726df1c54f4,7
a26b7620eaee309d63dc4c3979a712d8e3854a8b,,10.1063/1.1748101,A Study of Two‐Center Integrals Useful in Calculations on Molecular Structure. II. The Two‐Center Exchange Integrals,Klaus Rüdenberg,1951,1951-12-01,,https://www.semanticscholar.org/paper/a26b7620eaee309d63dc4c3979a712d8e3854a8b,235
fb22a4809903a71ebbc23b6d486e631777bc1f99,,10.1143/PTP/7.4.406,"On the Density Matrix in Hartree-Field, I",Hirosi Itô,1952,1952-04-01,,https://www.semanticscholar.org/paper/fb22a4809903a71ebbc23b6d486e631777bc1f99,0
92298879630790f1b7765673cba00465770daead,,,RECENT ADVANCES IN OUR KNOWLEDGE OF THE NUMERICAL VALUES OF THE FUNDAMENTAL ATOMIC CONSTANTS,J. DuMond; E. R. Cohen,1952,1952-07-01,,https://www.semanticscholar.org/paper/92298879630790f1b7765673cba00465770daead,1
731dadf81bace6f64832c0d461d006d331ad3572,,10.21236/ad0001761,ANALYSIS OF THE HYDROGEN ECLIPSE OBSERVATIONS TO DETERMINE THE THERMODYNAMIC STATE OF THE SOLAR CHROMOSPHERE,E. Parker; R. Thomas,1952,1952-07-17,,https://www.semanticscholar.org/paper/731dadf81bace6f64832c0d461d006d331ad3572,0
1ddd2474d46298d01f80e0092e0cc1badccc82b4,,10.1002/J.1538-7305.1952.TB01408.X,Abstracts of Bell System technical papers∗ not published in this journal,P. Anderson,1953,1953-05-01,,https://www.semanticscholar.org/paper/1ddd2474d46298d01f80e0092e0cc1badccc82b4,0
eb44dc30c2568b51c5b77130fff51da25c939310,,10.1143/PTP/9.6.633,On the Quantum Theory of Fields,D. Rivier,1953,1953-06-01,,https://www.semanticscholar.org/paper/eb44dc30c2568b51c5b77130fff51da25c939310,8
d30cc436e06fc150583f75fd48d8df7a85575e3e,,10.1063/1.1698642,Energy Exchange in Molecular Collisions,B. Widom; S. Bauer,1953,1953-10-01,,https://www.semanticscholar.org/paper/d30cc436e06fc150583f75fd48d8df7a85575e3e,47
0da901af740de2540e97239bffcb230db29825e5,,10.1103/PHYSREV.92.766,LATTICE-SPACE QUANTIZATION OF A NONLINEAR FIELD THEORY. Technical Report 2,Schiff,1953,1953-11-01,,https://www.semanticscholar.org/paper/0da901af740de2540e97239bffcb230db29825e5,37
0377cc8fcb95bb551219e649393406610b7dd89a,,10.1063/1.1740060,Diffusion Effects in the Photochemistry of Solid Films,Joseph E. Wilson,1954,1954-02-01,,https://www.semanticscholar.org/paper/0377cc8fcb95bb551219e649393406610b7dd89a,29
a67ad0e60703e85790322d7c5914f9ef3ca9fe9a,,10.1103/PHYSREV.95.1190,Scattering of Ions by Polarization Forces,E. Vogt; G. Wannier,1954,1954-09-01,,https://www.semanticscholar.org/paper/a67ad0e60703e85790322d7c5914f9ef3ca9fe9a,197
d910b394089c55fc2ab51f7bd1218c974d84222a,,10.1063/1.1739995,Approximate Integral Evaluations Used in the Molecular Quantum Mechanics of Nonlinear Molecules,R. Barker; H. Eyring,1954,1954-12-01,,https://www.semanticscholar.org/paper/d910b394089c55fc2ab51f7bd1218c974d84222a,6
806767ff64aaea18168a30da3e939f1a06b2f540,,10.1088/0370-1298/68/2/305,Inelastic Collisions between Heavy Particles IV: Contribution of Double Transitions to certain Cross Sections including that associated with the Ionization of Hydrogen Atoms in Fast Encounters with other Hydrogen Atoms,D R Bates; G. Griffing,1955,1955-02-01,,https://www.semanticscholar.org/paper/806767ff64aaea18168a30da3e939f1a06b2f540,86
0715096fe2bcbbe2449bdece302c95176c0c8e5e,,10.1142/2692,The Neumann compendium,F. Brody; T. Vámos,1955,1955-06-30,,https://www.semanticscholar.org/paper/0715096fe2bcbbe2449bdece302c95176c0c8e5e,26
0d65566691c610d21e3c2b76f74053cf97ae548a,,10.1103/PHYSREV.101.1020,Relativistic Radiative Transitions.,W. B. Payne; J. Levinger,1956,1956-02-01,,https://www.semanticscholar.org/paper/0d65566691c610d21e3c2b76f74053cf97ae548a,22
51222eecd00ceb0aeae1df73766be432d4bb8507,,10.1063/1.1742457,"Study of Two‐Center Integrals Useful in Calculations on Molecular Structure. III. A Unified Treatment of the Hybrid, Coulomb, and One‐Electron Integrals",K. Ruedenberg; C. Roothaan; W. Jaunzemis,1956,1956-02-01,,https://www.semanticscholar.org/paper/51222eecd00ceb0aeae1df73766be432d4bb8507,124
9356a4448d16fa0be6c6ae627ec879297c0907e9,,10.1143/PTP.15.95,Theory of Electron Multiplication in Silicon,J. Yamashita,1956,1956-02-01,,https://www.semanticscholar.org/paper/9356a4448d16fa0be6c6ae627ec879297c0907e9,4
0684efc037970830ac123eb8363ca711901d0eef,,10.1103/PHYSREV.102.1189,Energy Spectrum of the Excitations in Liquid Helium,R. Feynman; Michael Cohen,1956,1956-06-01,,https://www.semanticscholar.org/paper/0684efc037970830ac123eb8363ca711901d0eef,518
2a174677c960060e08a2201ecdef7280b8f5fffd,,10.1139/P56-108,THE QUANTUM MECHANICAL CALCULATION OF THE SURFACE ENERGY OF SODIUM CHLORIDE— A FIRST APPROXIMATION,G. C. Benson; F. V. Zeggeren,1956,1956-09-01,,https://www.semanticscholar.org/paper/2a174677c960060e08a2201ecdef7280b8f5fffd,11
947284d1666eccbc325f20b514a04de7a28babf9,,10.1063/1.1722537,First Correction to the Geometric‐Optics Scattering Cross Section from Cylinders and Spheres,S. I. Rubinow; T. Wu,1956,1956-09-01,,https://www.semanticscholar.org/paper/947284d1666eccbc325f20b514a04de7a28babf9,36
39acdc3b2fb43c2413af94e0c3a505642e9d18b8,,10.1007/BF02827754,On the radiative contributions to the Van der Waals force,E. A. Power; S. Zienau,1957,1957-07-01,,https://www.semanticscholar.org/paper/39acdc3b2fb43c2413af94e0c3a505642e9d18b8,65
d0c7653644fe1710acc03cba2ea3f89c4e3697dd,,,DEPENDENCE OF THE TAPER LENGTH OF EMULSION TRACKS ON PARTICLE CHARGE,D. V. Viktorov; M. Z. Maksimov,1957,1957-08-01,,https://www.semanticscholar.org/paper/d0c7653644fe1710acc03cba2ea3f89c4e3697dd,0
